bbox_label,category,latitude,longitude,tags
35.0_-81.0,traffic_signals,35.4831470,-80.7090530,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4034278,-80.5897978,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4059137,-80.5878304,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4095088,-80.5827133,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4105386,-80.5813381,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4143710,-80.6130880,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4294700,-80.6092420,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4325200,-80.6043380,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4350933,-80.6036495,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4143240,-80.6132210,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4295610,-80.6092990,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4378718,-80.6051261,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4417991,-80.6083585,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3996739,-80.6083750,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3958950,-80.6113578,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3949678,-80.6159671,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3918147,-80.6242716,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3524081,-80.6881783,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3495724,-80.6904890,{'highway': 'traffic_signals'}
35.0_-81.0,crossing,35.3524317,-80.6884201,"{'crossing': 'uncontrolled', 'crossing:markings': 'zebra', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.3525285,-80.6883501,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3661950,-80.6679500,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3919184,-80.6243487,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3950820,-80.6160040,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2516057,-80.5010368,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3848933,-80.6897456,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.3792625,-80.6981693,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
